titre,annee,description,note_imdb,votes_imdb,note_jwrating,runtime,type,genres,producteur,plateformes
Black Rabbit,2025,"Un restaurateur en pleine ascension est contraint de tremper dans le milieu criminel new-yorkais après le retour de son frère chaotique, harcelé par des usuriers impitoyables.",7.4,25321.0,0.837351457461,56,SHOW,"Crime & Thriller, Drame, Mystère & Thriller",Justin Kurzel,"Netflix, Netflix Standard with Ads"
Indociles,2025,"Un policier local soupçonne l'école pour ados en difficulté de la ville, et sa fondatrice au charisme troublant, de cacher un sombre secret.",5.9,17777.0,0.704913237411,44,SHOW,"Drame, Mystère & Thriller",Euros Lyn,"Netflix, Netflix Standard with Ads"
Fondation,2021,"Inspirée des romans primés d'Isaac Asimov, Foundation est la chronique de l'extraordinaire voyage d'une bande d'exilés pour sauver l'humanité et reconstruire la civilisation pendant la chute de l'Empire galactique.",7.6,120023.0,0.926549168001,53,SHOW,"Science-Fiction, Drame",Mark Tonderai,Apple TV+
Néro,2025,"1504, dans le sud de la France. Néro, un assassin dangereux et cynique, est trahi par son maître et allié de longue date. Fuyant de redoutables ennemis lancés à sa poursuite, il doit récupérer et protéger sa fille Perla, laissée jusque-là comme orpheline. Durant leur périple entre vengeance et rédemption, Néro va devoir faire un choix : sauver sa peau ou sauver sa fille... et le monde.",6.7,1167.0,0.845028601312,52,SHOW,"Drame, Action & Aventure, Histoire",Allan Mauduit,"Netflix, Netflix Standard with Ads"
Les Sentinelles,2025,"Au début de la Première Guerre mondiale, le soldat Gabriel Ferraud, grièvement blessé, est sélectionné pour participer à un programme de recherche ultra-secret de l’armée française qui vise à créer des combattants d’un genre nouveau. Après qu’on lui a inoculé un sérum à l’origine mystérieuse, Gabriel se voit doté de capacités inédites. Désormais plus fort, plus rapide, plus résistant qu’un être humain normal, il intègre une unité d’élite composée de soldats augmentés : les Sentinelles. Mais il est très vite confronté à une réalité terrifiante qui risque de faire basculer le sort de la guerre.",5.8,127.0,,50,SHOW,"Drame, Action & Aventure, Fantastique, Film de guerre",Thierry Poiraud,"Canal+ Séries, Canal+"
HPI : Haut Potentiel Intellectuel,2021,"Morgane Alvaro reprend du service ! Avec son génie incontrôlable et son look improbable, Morgane n’a pas fini de bousculer les procédures du commandant Karadec… mais aussi de booster les enquêtes criminelles. Ensemble, le duo fera face à des énigmes de haut vol. Mais pour combien de temps encore ?",7.6,3375.0,0.849609190661,55,SHOW,"Crime & Thriller, Pour enfants, Comédie, Mystère & Thriller",Mona Achache,"Disney Plus, Fnac , VIVA by videofutur, TF1+, Canal VOD, Apple TV, Orange VOD, Premiere Max"
The Last of Us,2023,"Vingt ans après la destruction de la civilisation moderne, Joel, un survivant endurci, est engagé pour faire sortir Ellie, une jeune fille de 14 ans, d'une zone de quarantaine oppressante. Ce qui n'est au départ qu'un petit travail se transforme rapidement en un voyage brutal et époustouflant, alors que dans ce duo improbable, chacun dépend de l'autre pour sa survie.",8.5,701777.0,0.951887270421,57,SHOW,"Drame, Action & Aventure, Horreur, Science-Fiction, Mystère & Thriller",Nina Lopez-Corrado,"Amazon Video, VIVA by videofutur, HBO Max, Apple TV, Rakuten TV, HBO Max  Amazon Channel, Premiere Max"
Tulsa King,2022,"Dwight Manfredi, surnommé ""Le Général"", vient de sortir de prison où il a passé 25 ans. Cet ancien membre de la mafia new-yorkaise est cependant contraint de s'exiler à Tulsa dans l'Oklahoma. Il va y rassembler sa propre « famille » pour développer un empire criminel.",7.9,105580.0,0.93032400836,40,SHOW,"Drame, Action & Aventure, Crime & Thriller",Benjamin Semanoff,"Fnac , Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Amazon Video, Canal VOD, Apple TV, Paramount Plus, Orange VOD, Zavvi, Paramount Plus Premium"
L'été où je suis devenue jolie,2022,"Isabel ""Belly"" Conklin passe ses étés à Cousin's Beach avec sa mère et son frère aîné, ainsi que le meilleur ami de sa mère et ses fils. Au cours d'un été bien précis, elle va connaître son premier amour mais aussi sa première peine de coeur.",7.3,64743.0,0.85692350528,54,SHOW,"Drame, Comédie Romantique",Katina Medina Mora,"Amazon Prime Video, Amazon Prime Video with Ads"
La matinale,2019,"Portrait sans concession des coulisses d'une matinale télé aux États-Unis, où l’ego et les ambitions génèrent des tensions au sein de l'équipe. Parmi ces personnes qui aident l'Amérique à se réveiller, deux femmes tentent de tirer leur épingle du jeu dans ce milieu impitoyable.",8.1,143532.0,0.933442339318,55,SHOW,Drame,Miguel Arteta,Apple TV+
